Variable_Name,Variable Desc,Who,Sales Channel,Product,Activity,Metric,Category
UM_AllChan_Mob_Cooperation_SpendGross,Independent,UM,AllChan,Mob,Cooperation,SpendGross,Spend
UM_AllChan_B2B_Cooperation_SpendGross,Independent,UM,AllChan,B2B,Cooperation,SpendGross,Spend
UM_AllChan_AllCamp_Radio_GRP,Independent,UM,AllChan,AllCamp,Radio,GRP,GRP
UM_AllChan_AllCamp_TV_GRP,Independent,UM,AllChan,AllCamp,TV,GRP,GRP
UM_AllChan_AllProd_Radio_SpendGross,Independent,UM,AllChan,AllProd,Radio,SpendGross,Spend
UM_AllChan_AllProd_TV_SpendGross,Independent,UM,AllChan,AllProd,TV,SpendGross,Spend
UM_AllChan_AllProd_HSIn_SpendGross,Independent,UM,AllChan,AllProd,HSIn,SpendGross,Spend
UM_AllChan_AllProd_TradePress_SpendGross,Independent,UM,AllChan,AllProd,TradePress,SpendGross,Spend
UM_AllChan_AllProd_Magazines_SpendGross,Independent,UM,AllChan,AllProd,Magazines,SpendGross,Spend
UM_AllChan_AllProd_OOH_SpendGross,Independent,UM,AllChan,AllProd,OOH,SpendGross,Spend
UM_AllChan_AllProd_InternetSocialIO_SpendGross,Independent,UM,AllChan,AllProd,InternetSocialIO,SpendGross,Spend
UM_AllChan_AllProd_Newspapers_SpendGross,Independent,UM,AllChan,AllProd,Newspapers,SpendGross,Spend
UM_AllChan_AllProd_Cinema_SpendGross,Independent,UM,AllChan,AllProd,Cinema,SpendGross,Spend
UM_AllChan_AllProd_Cooperation_SpendGross,Independent,UM,AllChan,AllProd,Cooperation,SpendGross,Spend
UM_HSIn_AllProd_TraditionalMedia_SpendGross,Independent,UM,HSIn,AllProd,TraditionalMedia,SpendGross,Spend
UM_AllChan_AllProd_NationalorFederalHolidays_GeoWeightedDays,Independent,UM,AllChan,AllProd,NationalorFederalHolidays,GeoWeightedDays,Seasonal
UM_AllChan_AllProd_DecJanHolidaysXmas_NY_GeoWeightedDays,Independent,UM,AllChan,AllProd,DecJanHolidaysXmas_NY,GeoWeightedDays,Seasonal
